,MI,mu,sigma
0,-0.0,22.58276503906538,84.23341651867482
1,-0.0,31.47435957529264,16.793301306736794
2,0.00327093529390865,23.792278574521063,20.739069365114116
3,0.0011390522548158089,47.844452516422066,89.32906300127141
4,0.002368827575818244,43.286984479516896,50.4084683106281
5,-0.0,10.188868499050411,18.459139933576456
6,0.007606760042060401,12.593535539804371,106.4773620781655
7,-0.0,27.304967294016294,117.3077053020065
8,0.005528336615284957,17.836305979622228,28.65119240798876
9,0.0017815135001999494,26.030807982585216,98.45767697006814
10,0.00960420255868577,12.540323516024339,106.37182278552109
11,-0.0,18.035660303306486,28.414362400681778
12,0.0008177001876656931,12.479192278023264,106.39549144298614
13,0.0034912073966495427,31.230445149429578,123.38726335545024
14,-0.0,31.728534607776165,84.14357997474664
15,0.0032660424068495786,36.925292029226014,85.88535615358053
16,-0.0,27.64926202521494,26.043233768341487
17,0.005423495181828386,26.60065405926394,92.99925986841276
18,0.0013311181381556736,37.17733186642856,68.26303769361483
19,-0.0,20.570687649828017,87.3440636131496
20,9.731519427802482e-05,33.92854222936367,35.31181195441711
21,-0.0,16.553685395388587,21.085640371641205
22,-0.0,45.689806980483375,53.33580460378289
23,-0.0,32.94498150304075,111.09519775647406
24,0.0009216873290558425,10.923932480066787,69.23644507813559
25,-0.0,24.46871484724369,80.49221241976745
26,-0.0,37.68820598647139,4.915851924712183
27,-0.0,49.519833857029575,67.18207532700566
28,0.006896564338720879,10.336614086654246,112.84805060501145
29,0.0016510644101934702,43.24326430718601,50.436082044416544
30,-0.0,31.693090791259415,62.675583355326594
31,-0.0,44.86719297650136,15.344486586540862
32,0.007033481113298379,29.469202183625832,108.73824312970982
33,-0.0,10.470543028607896,96.97434315700325
34,-0.0,14.6788181008082,5.093041461806575
35,0.008400138264057944,19.085540256869127,100.14135334211599
36,-0.0,27.35592173681482,62.273989334977045
37,0.009650333460889726,13.904883175766951,114.13922658876915
38,-0.0,42.56939744386519,52.49149462727987
39,0.006199534091933856,21.672899360046696,50.852580486753475
40,0.002191904118102883,20.628809884092213,92.70315873657975
41,-0.0,34.93968421474818,85.94985627022042
42,0.011262866849255815,32.16647328628589,87.41878680293381
43,-0.0,22.548232960466756,102.97807381715411
44,-0.0,43.718859445348535,44.97157893914904
45,0.0047317041523786685,36.24375165262043,125.03957625390967
46,0.0062909140946683095,22.932715395493723,23.921622478819412
47,0.0028786274306913384,38.01333556569935,44.69269273470045
48,-0.0,37.64442207114469,100.82359490977886
49,-0.0,19.424159400397606,40.30907168497438
50,-0.0,31.257368461579226,123.31629673292782
51,-0.0,41.6896689653651,51.76728465921701
52,-0.0,47.67916465892127,111.92977632092912
53,-0.0,35.70385096299125,8.953556340679139
54,-0.0,39.16976975257061,34.80613192344665
55,-0.0,31.642852043453495,24.194090569752394
56,0.002263418519191873,17.890993928068248,28.635581732546022
57,0.003038744180624775,32.04366518629078,58.2318656243814
58,-0.0,43.89822316807756,2.3142238173048
59,0.006809832067810717,31.218267334984972,123.38521531662933
