,score,mu,sigma
0,1.1871022157020796,10.497871447522908,2.568753833637377
1,0.3712702119534175,10.51684274799683,7.346503952751207
2,0.9535059017747498,37.03828847604817,3.2721486404398346
3,0.6459657804827774,19.469300674223536,4.9025951010332305
4,0.3133931153173153,12.089306449276105,8.251461424088081
5,0.28294725749362115,26.544600011356426,9.279903550143906
6,0.31010242221933737,11.52283829354869,8.499299964780244
7,1.0887216682692094,38.19722930385905,2.88428583270751
8,1.1798973366809893,39.306401530148996,2.60764838005181
9,0.8091586162278945,23.623948943451868,3.951727491765785
10,4.39357615182368,10.165608291597863,0.1
11,4.400492974612295,11.021621956913103,0.1
12,4.396793286618742,10.605464651420208,0.1
13,4.4004420378727485,14.139964287630235,0.1
14,4.408555150894019,49.7991813514413,0.10040919995462949
15,4.401714188907727,47.46934953656466,0.1
16,2.148091231895617,48.13631760186264,0.9298740751325727
17,4.4019847992744445,45.786027919209104,0.1
18,4.399761853981346,34.20632204918394,0.1
19,0.08091871639136716,10.0,19.999998996279754
20,4.39651225254595,39.83273207403079,0.1
21,4.407214495193591,29.32994608813532,0.1
22,4.377780406289622,20.381237983028626,0.1
23,0.12539110075249216,19.350212671352057,15.324890657641285
24,4.402950782307677,17.69904326996008,0.1
25,4.4028816817138345,31.65341928577879,0.1
26,4.384434013528224,25.2362544745172,0.1
27,4.390288925245847,42.445696218289136,0.1
28,4.367835847696082,27.282298925439733,0.1
29,4.407013198468375,36.82604611820093,0.1
30,4.374527141840017,22.92323647950807,0.1
31,4.404999295008684,41.09656919137082,0.1
32,4.408507917771651,38.0524003930216,0.1
33,4.388664215288927,16.002342222847204,0.1
34,4.385880217725341,44.38043408997817,0.1
35,4.423555073235888,30.413257382441852,0.1
36,0.30203886633352184,32.098899309928434,8.889019237729977
37,4.383070384049869,35.456240855640516,0.1
38,0.10261122388923738,13.578027681308885,18.207009040573553
39,0.1160020259348471,10.026510992489,14.985175758241981
40,4.326857858250095,23.895641687404158,0.10794271840798929
41,4.0548643490175404,13.3066748257998,0.14102916446455538
42,1.4459058958411681,30.201666125780424,1.9109630793996022
43,4.399785278963308,18.8654973598637,0.1
44,4.39867686161919,14.878357651057847,0.1
45,0.1666850634656285,24.185195112985102,12.906635936277885
46,0.22133760001605385,18.055336552963585,10.587229400610195
47,4.406586566035529,21.68881035023236,0.1
48,4.383103347085665,46.692835587550256,0.1
49,4.397087487196684,26.209747290060868,0.1
50,2.2593318396305846,19.653709039678436,0.8484430780260951
51,0.3373532361904674,21.990358986866664,8.269202653132613
52,0.13875825928225272,14.433497230963152,13.593593550258225
53,4.390125071732217,32.980244605064065,0.1
54,4.391395070977662,28.44856319073752,0.1
55,4.403111932248509,48.86656730959573,0.1
56,0.42550287734018255,35.89665938149176,7.022352793776444
57,0.19449026608880082,27.698760038794138,11.134324858606538
58,4.413637847711055,16.86149752835083,0.1
59,0.3855313385600416,16.452912696503187,7.233778303244541
