,score,mu,sigma
0,0.008267828952342349,10.887944139673817,72.05568090433718
1,0.046028613038034294,37.68277828476358,14.28713597579451
2,-0.0,21.265291302034534,62.75511850547683
3,0.012102909871885892,19.519121145874777,46.190606587319444
4,0.007086135545441685,13.100721354324154,82.83372562434087
5,0.0015891520902302503,11.122113915902698,105.4897134030193
6,-0.0,17.623840917599274,77.26829634564368
7,0.052325164297781335,17.68146647276233,13.168610244776232
8,0.008998042031695519,34.55664537913687,132.5649181415445
9,-0.0,43.51457201294152,121.83484795780015
10,3.86635822277299,21.32217346098375,0.1
11,3.8978378740076756,23.296258168706043,0.1
12,3.897538953154194,28.39640719766785,0.1
13,3.875298974744352,50.0,0.1
14,3.8886914252796196,42.16761313085195,0.1
15,-0.0,50.0,78.2550934675704
16,3.884891645476475,10.0,0.1
17,0.00715138138878757,49.18564775973099,49.1641048261279
18,3.883758179137002,36.331684124503916,0.1
19,-0.0,10.0,133.33333333333331
20,-0.0,49.57419518425491,132.54073692375852
21,3.0815063826678584,32.97679177578173,0.22678557659911208
22,3.894039939593666,14.516793102501751,0.1
23,3.89478300946235,38.782976644869635,0.1
24,3.8875147701995516,46.48566327616756,0.1
25,0.36579124672449925,50.0,4.647484999048071
26,3.891535070024184,26.39649136878726,0.10000000000000005
27,0.48414167924384355,10.0,3.7342775012357072
28,0.45286047917201433,26.72663819619052,3.769052302482805
29,-0.0,37.223376837411216,98.94170891778263
30,0.0020943878451813447,10.0,30.02318363474034
31,0.015604568866792512,50.0,29.994912654797922
32,0.0008978158920491808,31.399408866939915,32.751926334022265
33,0.7364781913653875,38.50852909271914,2.609752515800553
34,-0.0,24.430099762766986,116.90061624822346
35,0.00600807449411267,38.79554143177875,64.35745669844889
36,3.888799839908194,17.63342793333289,0.1
37,-0.0,50.0,106.57001505856019
38,-0.0,32.41303293672194,83.08026705818531
39,0.0051982514109809586,10.0,55.066356424814344
40,-0.0,22.125941817001568,95.94956060794415
41,0.003653836960956447,34.19772011667317,48.82176639109181
42,3.8679051290730757,11.898066572766016,0.1
43,-0.0,50.0,91.9968970130942
44,0.007858439079213575,10.0,119.48452956076747
45,0.005349254656954017,50.0,63.45654559506891
46,-0.0,22.430858489249935,133.33333333333331
47,0.009138508775531129,23.29169069407947,23.70630113991669
48,0.004384397502627202,35.523773381758495,111.36033211549542
49,0.011252839842790685,10.0,93.64892090979848
50,3.8789204438508067,48.439655260836346,0.1
51,3.8530630173545277,44.18867749084657,0.1
52,0.02162141917401339,39.63144941677853,23.914771714634508
53,0.003420627063115411,10.0,41.716000521025315
54,5.65445926064001e-05,29.696996076552708,71.68621537394017
55,-0.0,42.37035386712226,39.14770779779571
56,0.02377907917358968,50.0,18.933379571637342
57,0.03152301263028967,10.0,19.763850279951395
58,0.010507347982791515,24.713608898761272,106.10193377883448
59,0.0039029771687770776,20.740574623699676,35.334391529261374
